FUL-UBL-RFD.: [L, U' R U]
FUL-UBL-RDB.: [L, U' R2 U]
FUL-UBL-FRU.: [L, U' R' U]
BUR-DLB-FLD.: [L, D' R D]
RUF-BDL-DFL.: [L, D' R2 D]
FLD-RDB-DLB.: [L, D' R' D]
FUL-RDB-DFL.: [L, F' R F]
FUL-RBU-DFL.: [L, F' R2 F]
FUL-DRF-DFL.: [L, F' R' F]
LUB-LBD-FRU.: [L, B' R B]
LUB-LBD-DRF.: [L, B' R2 B]
LUB-LBD-BUR.: [L, B' R' B]
LUB-LBD-URB.: [L, U R U']
LUB-LBD-FDR.: [L, U R2 U']
LUB-LBD-DBR.: [L, U R' U']
FUL-RFD-DFL.: [L, D R D']
FUL-URB-DFL.: [L, D R2 D']
FUL-FRU-DFL.: [L, D R' D']
FUL-UBL-RUF.: [L, F R F']
FUL-UBL-BRD.: [L, F R2 F']
FUL-UBL-URB.: [L, F R' F']
FLD-DBR-DLB.: [L, B R B']
RUF-DLB-FLD.: [L, B R2 B']
FLD-RFD-DLB.: [L, B R' B']
FUL-BRD-LUB.: [U, L' D L]
FUL-RFD-LUB.: [U, L' D2 L]
FUL-DLB-LUB.: [U, L' D' L]
BUR-FLD-RUF.: [U, R' D R]
BUR-LBD-RUF.: [U, R' D2 R]
BUR-DRF-RUF.: [U, R' D' R]
FUL-RUF-LBD.: [U, F' D F]
FUL-RUF-BRD.: [U, F' D2 F]
FUL-RUF-DFL.: [U, F' D' F]
LUB-RFD-BUR.: [U, B' D B]
LUB-FLD-BUR.: [U, B' D2 B]
LUB-DBR-BUR.: [U, B' D' B]
FUL-RUF-FLD.: [U, L D L']
FUL-RUF-DBR.: [U, L D2 L']
FUL-RUF-DRF.: [U, L D' L']
LUB-BRD-BUR.: [U, R D R']
LUB-DFL-BUR.: [U, R D2 R']
LUB-DLB-BUR.: [U, R D' R']
BUR-RFD-RUF.: [U, F D F']
BUR-DLB-RUF.: [U, F D2 F']
BUR-DBR-RUF.: [U, F D' F']
FUL-LBD-LUB.: [U, B D B']
FUL-DRF-LUB.: [U, B D2 B']
FUL-DFL-LUB.: [U, B D' B']
BUR-UFR-LBD.: [R, U' L U]
BUR-UFR-LDF.: [R, U' L2 U]
LUB-URB-FRU.: [R, U' L' U]
FUL-DRF-BRD.: [R, D' L D]
LUB-FDR-DBR.: [R, D' L2 D]
FLD-FDR-DBR.: [R, D' L' D]
LUB-UFR-FDR.: [R, F' L F]
RUF-RFD-DLB.: [R, F' L2 F]
FUL-RUF-RFD.: [R, F' L' F]
BUR-LDF-DBR.: [R, B' L B]
FUL-BRD-URB.: [R, B' L2 B]
BUR-DLB-DBR.: [R, B' L' B]
FUL-FRU-DRF.: [R, U L U']
RUF-RFD-BDL.: [R, U L2 U']
RUF-RFD-DFL.: [R, U L' U']
BUR-LBD-DBR.: [R, D L D']
FUL-RDB-RBU.: [R, D L2 D']
LUB-BRD-URB.: [R, D L' D']
FLD-RFD-RDB.: [R, F L F']
LUB-DRF-BRD.: [R, F L2 F']
LBD-DRF-BRD.: [R, F L' F']
LUB-BUR-UFR.: [R, B L B']
BUR-UFR-FLD.: [R, B L2 B']
FUL-RBU-RUF.: [R, B L' B']
RUF-DFL-DLB.: [D, L' U L]
BUR-DFL-DLB.: [D, L' U2 L]
FUL-FLD-LBD.: [D, L' U' L]
LUB-DBR-DRF.: [D, R' U R]
FUL-DBR-DRF.: [D, R' U2 R]
BUR-BRD-RFD.: [D, R' U' R]
BUR-DRF-DFL.: [D, F' U F]
LUB-DRF-DFL.: [D, F' U2 F]
RUF-RFD-FLD.: [D, F' U' F]
FUL-DLB-DBR.: [D, B' U B]
RUF-DLB-DBR.: [D, B' U2 B]
LUB-LBD-BRD.: [D, B' U' B]
LUB-DLB-DBR.: [D, L U L']
RUF-LBD-BRD.: [D, L U2 L']
BUR-LBD-BRD.: [D, L U' L']
RUF-DRF-DFL.: [D, R U R']
LUB-RFD-FLD.: [D, R U2 R']
FUL-RFD-FLD.: [D, R U' R']
FUL-DFL-DLB.: [D, F U F']
BUR-FLD-LBD.: [D, F U2 F']
LUB-FLD-LBD.: [D, F U' F']
BUR-DBR-DRF.: [D, B U B']
FUL-BRD-RFD.: [D, B U2 B']
RUF-BRD-RFD.: [D, B U' B']
FUL-FLD-RBU.: [F, L' B L]
FUL-FLD-DBR.: [F, L' B2 L]
FUL-FLD-LUB.: [F, L' B' L]
FUL-DBR-FRU.: [F, U' B U]
FUL-LBD-FRU.: [F, U' B2 U]
FUL-URB-FRU.: [F, U' B' U]
RUF-BDL-DRF.: [F, R' B R]
LUB-RFD-UFR.: [F, R' B2 R]
RUF-DBR-DRF.: [F, R' B' R]
LUB-DFL-RFD.: [F, D' B D]
BUR-LDF-DRF.: [F, D' B2 D]
FLD-FDR-DLB.: [F, D' B' D]
FLD-FDR-LBD.: [F, L B L']
BUR-DFL-RFD.: [F, L B2 L']
FLD-FDR-RDB.: [F, L B' L']
FUL-FLD-UBL.: [F, U B U']
FUL-FLD-RDB.: [F, U B2 U']
FUL-FLD-DLB.: [F, U B' U']
FUL-RBU-FRU.: [F, R B R']
FUL-DLB-FRU.: [F, R B2 R']
FUL-LUB-FRU.: [F, R B' R']
RUF-BRD-DRF.: [F, D B D']
LUB-FDR-FRU.: [F, D B2 D']
