UL-DL-FR-BL-FL.*: [L, E' L2 E]
UL-BL-FL-UR-DL.*: [L, S' L2 S]
UL-BR-FL-BL-DL.*: [L, E L2 E']
UL-DL-FL-BL-DR.*: [L, S L2 S']
UF-UR-UL-DF-UB.*: [U, M' U2 M]
UF-DR-UL-UR-UB.*: [U, S' U2 S]
UF-UB-UL-UR-DB.*: [U, M U2 M']
UF-UB-DL-UR-UL.*: [U, S U2 S']
UR-DR-BL-FR-BR.*: [R, E' R2 E]
UR-DR-BR-FR-DL.*: [R, S' R2 S]
UR-FL-BR-FR-DR.*: [R, E R2 E']
UL-DR-UR-FR-BR.*: [R, S R2 S']
UB-DF-DB-DR-DL.*: [D, M' D2 M]
UL-DR-DL-DB-DF.*: [D, S' D2 S]
UF-DB-DF-DL-DR.*: [D, M D2 M']
UR-DL-DR-DF-DB.*: [D, S D2 S']
UF-DF-RF-LF-DB.*: [F, M' F2 M]
UF-DF-RB-LF-RF.*: [F, E' F2 E]
UF-LF-RF-UB-DF.*: [F, M F2 M']
UF-LB-RF-LF-DF.*: [F, E F2 E']
UF-DB-UB-RB-LB.*: [B, M' B2 M]
UB-DB-LF-RB-LB.*: [B, E' B2 E]
UB-DB-LB-RB-DF.*: [B, M B2 M']
UB-RF-LB-RB-DB.*: [B, E B2 E']
UF-DB-UB-RU-FD.*: [M, U F2 U]
UF-DB-FD-UL-UB.*: [M, U B2 U]
UF-BU-DL-DF-DB.*: [M, D F2 D]
UF-DF-RD-BU-DB.*: [M, D B2 D]
UF-DF-UB-BD-LF.*: [M, F U2 F]
UF-FR-BD-DF-UB.*: [M, F D2 F]
UF-BU-FD-BD-RB.*: [M, B U2 B]
UF-BL-BD-BU-FD.*: [M, B D2 B]
UF-DB-UB-LU-FD.*: [M, U' F2 U']
UF-DB-FD-UR-UB.*: [M, U' B2 U']
UF-BU-DR-DF-DB.*: [M, D' F2 D']
UF-DF-LD-BU-DB.*: [M, D' B2 D']
UF-DF-UB-BD-RF.*: [M, F' U2 F']
UF-FL-BD-DF-UB.*: [M, F' D2 F']
UF-BU-FD-BD-LB.*: [M, B' U2 B']
UF-BR-BD-BU-FD.*: [M, B' D2 B']
UL-FR-LF-RB-LB.*: [E, L F2 L]
DL-BL-FL-BR-RF.*: [E, L B2 L]
DR-FR-BR-FL-LB.*: [E, R F2 R]
UR-BL-RB-LF-RF.*: [E, R B2 R]
DF-LF-RF-LB-BR.*: [E, F L2 F]
UF-RB-FR-BL-FL.*: [E, F R2 F]
UB-LF-BL-FR-BR.*: [E, B L2 B]
DB-RB-LB-RF-FL.*: [E, B R2 B]
DL-FR-LF-RB-LB.*: [E, L' F2 L']
UL-BL-FL-BR-RF.*: [E, L' B2 L']
UR-FR-BR-FL-LB.*: [E, R' F2 R']
DR-BL-RB-LF-RF.*: [E, R' B2 R']
UF-LF-RF-LB-BR.*: [E, F' L2 F']
DF-RB-FR-BL-FL.*: [E, F' R2 F']
DB-LF-BL-FR-BR.*: [E, B' L2 B']
UB-RB-LB-RF-FL.*: [E, B' R2 B']
UL-DR-DL-LB-RU.*: [S, L U2 L]
UL-DR-RU-FL-DL.*: [S, L D2 L]
UF-UL-UR-DL-RD.*: [S, U L2 U]
UL-BU-RD-UR-DL.*: [S, U R2 U]
UL-LD-FR-UR-DR.*: [S, R U2 R]
UL-UR-RB-LD-DR.*: [S, R D2 R]
UL-LD-RU-RD-DB.*: [S, D L2 D]
UL-FD-RD-LD-RU.*: [S, D R2 D]
UL-DR-DL-LF-RU.*: [S, L' U2 L']
UL-DR-RU-BL-DL.*: [S, L' D2 L']
UL-UR-DL-RD-UB.*: [S, U' L2 U']
UF-DR-RU-LD-LU.*: [S, U' R2 U']
UL-LD-BR-UR-DR.*: [S, R' U2 R']
UL-UR-RF-LD-DR.*: [S, R' D2 R']
UL-LD-RU-RD-DF.*: [S, D' L2 D']
UL-BD-RD-LD-RU.*: [S, D' R2 D']
UL-DL-LF-RF-LB.*: [L2, E' L E]
UL-LF-LB-DL-DR.*: [L2, S R E]
UL-LF-RF-LB-DL.*: [L2, E' L' E]
UL-UR-DL-LF-LB.*: [L2, S' R' E]
UL-UR-DL-LB-LF.*: [L2, S' L S]
UL-DL-LF-RF-LB.*: [L2, E' R S]
UL-UR-DL-LF-LB.*: [L2, S' L' S]
UL-DL-LB-RB-LF.*: [L2, E R' S]
UL-LB-RB-LF-DL.*: [L2, E L E']
UL-UR-DL-LB-LF.*: [L2, S' R E']
UL-DL-LB-RB-LF.*: [L2, E L' E']
UL-LB-LF-DL-DR.*: [L2, S R' E']
UL-LF-LB-DL-DR.*: [L2, S L S']
UL-LB-RB-LF-DL.*: [L2, E R S']
UL-LB-LF-DL-DR.*: [L2, S L' S']
UL-LF-RF-LB-DL.*: [L2, E' R' S']
UF-DF-UB-RU-LU.*: [U2, M' U M]
UF-UB-LU-LD-RU.*: [U2, S D M]
UF-DF-UB-LU-RU.*: [U2, M' U' M]
UF-UB-RU-RD-LU.*: [U2, S' D' M]
UF-RU-RD-LU-UB.*: [U2, S' U S]
UF-DF-UB-RU-LU.*: [U2, M' D S]
UF-UB-RU-RD-LU.*: [U2, S' U' S]
UF-RU-LU-UB-DB.*: [U2, M D' S]
