Lb-Ub-Lu.: [L, u' M u]
Lb-Bd-Lu.: [L, u' M2 u]
Lb-Df-Lu.: [L, u' M' u]
Ld-Lf-Df.: [L, d' M d]
Ld-Lf-Fu.: [L, d' M2 d]
Ld-Lf-Ub.: [L, d' M' d]
Lf-Lu-Fu.: [L, f' M f]
Ub-Lf-Lu.: [L, f' M2 f]
Bd-Lf-Lu.: [L, f' M' f]
Bd-Lb-Ld.: [L, b' M b]
Lb-Ld-Df.: [L, b' M2 b]
Lb-Ld-Fu.: [L, b' M' b]
Dl-Lf-Lu.: [L, E' l E]
Lb-Ld-Ur.: [L, E' r E]
Rf-Lf-Lu.: [L, E' l2 E]
Rb-Lb-Ld.: [L, E' r2 E]
Lf-Lu-Ul.: [L, E' l' E]
Dr-Lb-Ld.: [L, E' r' E]
Lb-Fl-Lu.: [L, S' l S]
Lf-Br-Ld.: [L, S' r S]
Lb-Ru-Lu.: [L, S' l2 S]
Lf-Rd-Ld.: [L, S' r2 S]
Lb-Bl-Lu.: [L, S' l' S]
Lf-Fr-Ld.: [L, S' r' S]
Lb-Db-Lu.: [L, u M u']
Lb-Fd-Lu.: [L, u M2 u']
Lu-Lb-Uf.: [L, u M' u']
Ld-Lf-Uf.: [L, d M d']
Ld-Lf-Bu.: [L, d M2 d']
Lf-Db-Ld.: [L, d M' d']
Bu-Lf-Lu.: [L, f M f']
Db-Lf-Lu.: [L, f M2 f']
Fd-Lf-Lu.: [L, f M' f']
Lb-Ld-Fd.: [L, b M b']
Lb-Ld-Uf.: [L, b M2 b']
Lb-Ld-Bu.: [L, b M' b']
Lb-Ld-Ul.: [L, E l E']
Dr-Lf-Lu.: [L, E r E']
Rb-Lb-Ld.: [L, E l2 E']
Rf-Lf-Lu.: [L, E r2 E']
Lb-Ld-Dl.: [L, E l' E']
Ur-Lf-Lu.: [L, E r' E']
Lf-Bl-Ld.: [L, S l S']
Lb-Fr-Lu.: [L, S r S']
Lf-Rd-Ld.: [L, S l2 S']
Lb-Ru-Lu.: [L, S r2 S']
Lf-Fl-Ld.: [L, S l' S']
Lb-Br-Lu.: [L, S r' S']
Rb-Ul-Uf.: [U, l' E l]
Fr-Ul-Uf.: [U, l' E2 l]
Lf-Ul-Uf.: [U, l' E' l]
Ub-Lf-Ur.: [U, r' E r]
Ub-Bl-Ur.: [U, r' E2 r]
Ub-Rb-Ur.: [U, r' E' r]
Ur-Bl-Uf.: [U, f' E f]
Ur-Rb-Uf.: [U, f' E2 f]
Ur-Fr-Uf.: [U, f' E' f]
Fr-Ub-Ul.: [U, b' E b]
Lf-Ub-Ul.: [U, b' E2 b]
Bl-Ub-Ul.: [U, b' E' b]
Ur-Lu-Uf.: [U, M' u M]
Rd-Ub-Ul.: [U, M' d M]
Ur-Df-Uf.: [U, M' u2 M]
Db-Ub-Ul.: [U, M' d2 M]
Ur-Ru-Uf.: [U, M' u' M]
Ld-Ub-Ul.: [U, M' d' M]
Ur-Ub-Fu.: [U, S' u S]
Bd-Ul-Uf.: [U, S' d S]
Ub-Dr-Ur.: [U, S' u2 S]
Dl-Ul-Uf.: [U, S' d2 S]
Ub-Bu-Ur.: [U, S' u' S]
Fd-Ul-Uf.: [U, S' d' S]
Lb-Ul-Uf.: [U, l E l']
Br-Ul-Uf.: [U, l E2 l']
Rf-Ul-Uf.: [U, l E' l']
Ub-Rf-Ur.: [U, r E r']
Ub-Fl-Ur.: [U, r E2 r']
Ub-Lb-Ur.: [U, r E' r']
Ur-Fl-Uf.: [U, f E f']
Ur-Lb-Uf.: [U, f E2 f']
Ur-Br-Uf.: [U, f E' f']
Br-Ub-Ul.: [U, b E b']
Rf-Ub-Ul.: [U, b E2 b']
Fl-Ub-Ul.: [U, b E' b']
Ru-Ub-Ul.: [U, M u M']
Ur-Ld-Uf.: [U, M d M']
Db-Ub-Ul.: [U, M u2 M']
Ur-Df-Uf.: [U, M d2 M']
Lu-Ub-Ul.: [U, M u' M']
Ur-Rd-Uf.: [U, M d' M']
Bu-Ul-Uf.: [U, S u S']
Ub-Fd-Ur.: [U, S d S']
Dl-Ul-Uf.: [U, S u2 S']
Ub-Dr-Ur.: [U, S d2 S']
Fu-Ul-Uf.: [U, S u' S']
Ub-Bd-Ur.: [U, S d' S']
Rf-Db-Ru.: [R, u' M u]
Rf-Fd-Ru.: [R, u' M2 u]
Ru-Rf-Uf.: [R, u' M' u]
Rd-Rb-Uf.: [R, d' M d]
Rd-Rb-Bu.: [R, d' M2 d]
Rb-Db-Rd.: [R, d' M' d]
Rf-Rd-Bu.: [R, f' M f]
Db-Rf-Rd.: [R, f' M2 f]
Rf-Rd-Fd.: [R, f' M' f]
Fd-Rb-Ru.: [R, b' M b]
Rb-Ru-Uf.: [R, b' M2 b]
Bu-Rb-Ru.: [R, b' M' b]
Rf-Rd-Ul.: [R, E' l E]
Dr-Rb-Ru.: [R, E' r E]
Lf-Rf-Rd.: [R, E' l2 E]
Lb-Rb-Ru.: [R, E' r2 E]
Rf-Rd-Dl.: [R, E' l' E]
Rb-Ru-Ur.: [R, E' r' E]
Rf-Bl-Ru.: [R, S' l S]
Rb-Fr-Rd.: [R, S' r S]
Ru-Rf-Lu.: [R, S' l2 S]
Rd-Rb-Ld.: [R, S' r2 S]
Rf-Fl-Ru.: [R, S' l' S]
Rb-Br-Rd.: [R, S' r' S]
Rf-Ub-Ru.: [R, u M u']
Rf-Bd-Ru.: [R, u M2 u']
Rf-Df-Ru.: [R, u M' u']
Rd-Rb-Df.: [R, d M d']
Rd-Rb-Fu.: [R, d M2 d']
Rd-Rb-Ub.: [R, d M' d']
Rf-Rd-Fu.: [R, f M f']
Rf-Rd-Ub.: [R, f M2 f']
Bd-Rf-Rd.: [R, f M' f']
Bd-Rb-Ru.: [R, b M b']
Df-Rb-Ru.: [R, b M2 b']
Rb-Ru-Fu.: [R, b M' b']
Dl-Rb-Ru.: [R, E l E']
Rf-Rd-Ur.: [R, E r E']
Lb-Rb-Ru.: [R, E l2 E']
Lf-Rf-Rd.: [R, E r2 E']
Rb-Ru-Ul.: [R, E l' E']
Rf-Rd-Dr.: [R, E r' E']
Rb-Fl-Rd.: [R, S l S']
Rf-Br-Ru.: [R, S r S']
Rd-Rb-Ld.: [R, S l2 S']
Ru-Rf-Lu.: [R, S r2 S']
Rb-Bl-Rd.: [R, S l' S']
Rf-Fr-Ru.: [R, S r' S']
Db-Lb-Dl.: [D, l' E l]
Db-Br-Dl.: [D, l' E2 l]
Db-Rf-Dl.: [D, l' E' l]
Rf-Dr-Df.: [D, r' E r]
Fl-Dr-Df.: [D, r' E2 r]
Lb-Dr-Df.: [D, r' E' r]
Dl-Fl-Df.: [D, f' E f]
Dl-Lb-Df.: [D, f' E2 f]
Dl-Br-Df.: [D, f' E' f]
Br-Db-Dr.: [D, b' E b]
Rf-Db-Dr.: [D, b' E2 b]
Fl-Db-Dr.: [D, b' E' b]
Df-Dl-Ru.: [D, M' u M]
Db-Dr-Ld.: [D, M' d M]
Df-Dl-Uf.: [D, M' u2 M]
Db-Dr-Ub.: [D, M' d2 M]
Df-Dl-Lu.: [D, M' u' M]
Rd-Db-Dr.: [D, M' d' M]
Dr-Df-Bu.: [D, S' u S]
Dl-Db-Fd.: [D, S' d S]
Dr-Df-Ur.: [D, S' u2 S]
Dl-Db-Ul.: [D, S' d2 S]
Dr-Df-Fu.: [D, S' u' S]
Db-Bd-Dl.: [D, S' d' S]
Db-Rb-Dl.: [D, l E l']
Db-Fr-Dl.: [D, l E2 l']
Db-Lf-Dl.: [D, l E' l']
Lf-Dr-Df.: [D, r E r']
Bl-Dr-Df.: [D, r E2 r']
Rb-Dr-Df.: [D, r E' r']
Dl-Bl-Df.: [D, f E f']
Dl-Rb-Df.: [D, f E2 f']
Dl-Fr-Df.: [D, f E' f']
Fr-Db-Dr.: [D, b E b']
Lf-Db-Dr.: [D, b E2 b']
Bl-Db-Dr.: [D, b E' b']
Db-Dr-Lu.: [D, M u M']
Dl-Rd-Df.: [D, M d M']
Db-Dr-Ub.: [D, M u2 M']
Df-Dl-Uf.: [D, M d2 M']
Db-Dr-Ru.: [D, M u' M']
Dl-Ld-Df.: [D, M d' M']
