BUl-DBl-LBu-FRd-UFl.: [l, U' L R U]
BUl-DBl-LDb-FRd-UFl.: [l, U' L2 R U]
BUl-DBl-LFd-FRd-UFl.: [l, U' L' R U]
BUl-DBl-LBu-DRb-UFl.: [l, U' L R2 U]
BUl-DBl-LDb-DRb-UFl.: [l, U' L2 R2 U]
BUl-DBl-LFd-DRb-UFl.: [l, U' L' R2 U]
BUl-DFr-LUf-FDl-UFl.: [l, F2 U' F2 U]
BDr-BUl-DBl-FDl-URf.: [l, B2 U' B2 U]
BUl-DBl-LBu-BRu-UFl.: [l, U' L R' U]
BUl-DBl-LDb-BRu-UFl.: [l, U' L2 R' U]
BUl-DBl-LFd-BRu-UFl.: [l, U' L' R' U]
LFd-BRu-DBl-FDl-UFl.: [l, D' L R D]
LUf-BRu-DBl-FDl-UFl.: [l, D' L2 R D]
LBu-BRu-DBl-FDl-UFl.: [l, D' L' R D]
LFd-URf-DBl-FDl-UFl.: [l, D' L R2 D]
LUf-URf-DBl-FDl-UFl.: [l, D' L2 R2 D]
LBu-URf-DBl-FDl-UFl.: [l, D' L' R2 D]
BUl-DRb-FUr-FDl-UFl.: [l, F2 D' F2 D]
LDb-BUl-DBl-FDl-UBr.: [l, B2 D' B2 D]
LFd-FRd-DBl-FDl-UFl.: [l, D' L R' D]
LUf-FRd-DBl-FDl-UFl.: [l, D' L2 R' D]
LBu-FRd-DBl-FDl-UFl.: [l, D' L' R' D]
BUl-LUf-DRb-FDl-UFl.: [l, F' L R F]
BUl-LBu-DRb-FDl-UFl.: [l, F' L2 R F]
BUl-LDb-DRb-FDl-UFl.: [l, F' L' R F]
BUl-DBl-FRd-UBr-UFl.: [l, U2 F' U2 F]
BUl-LUf-BRu-FDl-UFl.: [l, F' L R2 F]
BUl-LBu-BRu-FDl-UFl.: [l, F' L2 R2 F]
BUl-LDb-BRu-FDl-UFl.: [l, F' L' R2 F]
BDr-LFd-DBl-FDl-UFl.: [l, D2 F' D2 F]
BUl-LUf-URf-FDl-UFl.: [l, F' L R' F]
BUl-LBu-URf-FDl-UFl.: [l, F' L2 R' F]
BUl-LDb-URf-FDl-UFl.: [l, F' L' R' F]
BUl-DBl-FDl-LDb-URf.: [l, B' L R B]
BUl-DBl-FDl-LFd-URf.: [l, B' L2 R B]
URf-BUl-DBl-FDl-LUf.: [l, B' L' R B]
BUl-DBl-FUr-LBu-UFl.: [l, U2 B' U2 B]
DBl-FDl-LDb-FRd-BUl.: [l, B' L R2 B]
DBl-FDl-LFd-FRd-BUl.: [l, B' L2 R2 B]
FRd-BUl-DBl-FDl-LUf.: [l, B' L' R2 B]
BRu-DFr-DBl-FDl-UFl.: [l, D2 B' D2 B]
DBl-FDl-LDb-DRb-BUl.: [l, B' L R' B]
