BLd-DLf-FDl-RBd-ULb.: [L, U' B' l2 B U]
LBu-LDb-DFr-BRu-LUf.: [L, U' B' r2 B U]
LDb-ULb-BLd-LFd-FUr.: [L, b2 U' b2 l U]
LUf-LBu-BLd-DFr-ULb.: [L, U r2 U2 r U]
BLd-LBu-URf-LUf-ULb.: [L, U l' U2 l2 U]
LUf-LBu-BLd-RUb-ULb.: [L, U r U2 r2 U]
DLf-ULb-BLd-FLu-UFl.: [L, U2 f2 U f2 U]
DLf-LUf-LBu-FLu-UFl.: [L, f2 U' r' f2 U]
LDb-LUf-LBu-LFd-FUr.: [L, U2 b2 U b2 U]
LDb-ULb-BLd-LFd-FUr.: [L, b2 U' l b2 U]
LDb-LFd-BLd-RUb-ULb.: [L, U' D l D' U]
LDb-LFd-BLd-RUb-ULb.: [L, D U' l D' U]
LBu-FLu-RDf-DLf-LUf.: [L, U' D r D' U]
LBu-FLu-RDf-DLf-LUf.: [L, D U' r D' U]
BLd-LFd-DRb-LDb-ULb.: [L, U' D l' D' U]
BLd-LFd-DRb-LDb-ULb.: [L, D U' l' D' U]
DLf-FLu-LBu-URf-LUf.: [L, U' D r' D' U]
DLf-FLu-LBu-URf-LUf.: [L, D U' r' D' U]
BLd-LBu-FDl-LUf-ULb.: [L, U l2 U2 l' U]
DLf-LUf-LBu-FLu-UFl.: [L, f2 U' f2 r' U]
BUl-RFu-DLf-FLu-ULb.: [L, D' F' l2 F D]
UBr-FRd-LDb-LFd-LUf.: [L, D' F' r2 F D]
DLf-FLu-LBu-BDr-LUf.: [L, f2 D' f2 l D]
DLf-LDb-LFd-FLu-UBr.: [L, D r2 D2 r D]
FLu-LFd-DRb-LDb-DLf.: [L, D l' D2 l2 D]
LDb-LFd-FLu-RDf-DLf.: [L, D r D2 r2 D]
LDb-LFd-LBu-BDr-LUf.: [L, D2 f2 D f2 D]
DLf-FLu-LBu-BDr-LUf.: [L, f2 D' l f2 D]
DLf-FLu-BLd-DBl-ULb.: [L, D2 b2 D b2 D]
LDb-LFd-BLd-DBl-ULb.: [L, b2 D' r' b2 D]
LBu-FLu-RDf-DLf-LUf.: [L, D' U l U' D]
LBu-FLu-RDf-DLf-LUf.: [L, U D' l U' D]
LDb-LFd-BLd-RUb-ULb.: [L, D' U r U' D]
LDb-LFd-BLd-RUb-ULb.: [L, U D' r U' D]
DLf-FLu-LBu-URf-LUf.: [L, D' U l' U' D]
DLf-FLu-LBu-URf-LUf.: [L, U D' l' U' D]
BLd-LFd-DRb-LDb-ULb.: [L, D' U r' U' D]
BLd-LFd-DRb-LDb-ULb.: [L, U D' r' U' D]
LDb-DLf-FLu-LFd-BUl.: [L, D l2 D2 l' D]
LDb-LFd-BLd-DBl-ULb.: [L, b2 D' b2 r' D]
BLd-DBl-RUb-FLu-ULb.: [L, F' U' l2 U F]
LBu-BDr-URf-LFd-LUf.: [L, F' U' r2 U F]
LDb-DFr-LBu-FLu-ULb.: [L, u2 F' u2 l F]
BDr-FLu-LFd-LUf-ULb.: [L, F r2 F2 r F]
LUf-FRd-LFd-FLu-ULb.: [L, F l' F2 l2 F]
LDb-DFr-LBu-LFd-LUf.: [L, F2 u2 F u2 F]
LDb-DFr-LBu-FLu-ULb.: [L, u2 F' l u2 F]
RFu-FLu-LFd-LUf-ULb.: [L, F r F2 r2 F]
DLf-FDl-BLd-FLu-ULb.: [L, F2 d2 F d2 F]
DLf-FDl-BLd-LFd-LUf.: [L, d2 F' r' d2 F]
RFu-FLu-LBu-LDb-ULb.: [L, F' B l B' F]
RFu-FLu-LBu-LDb-ULb.: [L, B F' l B' F]
DLf-RBd-BLd-LFd-LUf.: [L, F' B r B' F]
DLf-RBd-BLd-LFd-LUf.: [L, B F' r B' F]
LDb-BRu-LBu-FLu-ULb.: [L, F' B l' B' F]
LDb-BRu-LBu-FLu-ULb.: [L, B F' l' B' F]
FRd-LFd-BLd-DLf-LUf.: [L, F' B r' B' F]
FRd-LFd-BLd-DLf-LUf.: [L, B F' r' B' F]
LUf-DBl-LFd-FLu-ULb.: [L, F l2 F2 l' F]
DLf-FDl-BLd-LFd-LUf.: [L, d2 F' d2 r' F]
RDf-BLd-DLf-FLu-UFl.: [L, B' D' l2 D B]
DRb-LBu-LDb-LFd-FUr.: [L, B' D' r2 D B]
UBr-LFd-BLd-DLf-LUf.: [L, d2 B' d2 l B]
BLd-LBu-LDb-DLf-FUr.: [L, B r2 B2 r B]
LDb-BRu-LBu-BLd-DLf.: [L, B l' B2 l2 B]
BUl-FLu-BLd-DLf-ULb.: [L, B2 u2 B u2 B]
BUl-FLu-LBu-LDb-ULb.: [L, u2 B' r' u2 B]
RBd-BLd-LBu-LDb-DLf.: [L, B r B2 r2 B]
UBr-LFd-LBu-LDb-LUf.: [L, B2 d2 B d2 B]
UBr-LFd-BLd-DLf-LUf.: [L, d2 B' l d2 B]
DLf-RBd-BLd-LFd-LUf.: [L, B' F l F' B]
DLf-RBd-BLd-LFd-LUf.: [L, F B' l F' B]
RFu-FLu-LBu-LDb-ULb.: [L, B' F r F' B]
RFu-FLu-LBu-LDb-ULb.: [L, F B' r F' B]
FRd-LFd-BLd-DLf-LUf.: [L, B' F l' F' B]
FRd-LFd-BLd-DLf-LUf.: [L, F B' l' F' B]
LDb-BRu-LBu-FLu-ULb.: [L, B' F r' F' B]
LDb-BRu-LBu-FLu-ULb.: [L, F B' r' F' B]
LBu-BLd-DLf-LDb-UFl.: [L, B l2 B2 l' B]
BUl-FLu-LBu-LDb-ULb.: [L, u2 B' u2 r' B]
LBu-FLu-RDf-DLf-LUf.: [L, d' u' f d u]
LBu-FLu-RDf-DLf-LUf.: [L, u' d' f d u]
LDb-LFd-BLd-RUb-ULb.: [L, d' u' b d u]
LDb-LFd-BLd-RUb-ULb.: [L, u' d' b d u]
DLf-FLu-LBu-URf-LUf.: [L, d' u' f' d u]
DLf-FLu-LBu-URf-LUf.: [L, u' d' f' d u]
BLd-LFd-DRb-LDb-ULb.: [L, d' u' b' d u]
BLd-LFd-DRb-LDb-ULb.: [L, u' d' b' d u]
RBd-RUb-DLf-FLu-ULb.: [L, u' f' R2 f u]
BLd-RDf-RBd-FLu-ULb.: [L, u' b' R2 b u]
DLf-RBd-BLd-FLu-ULb.: [L, u2 B2 u B2 u]
LBu-FLu-RDf-DLf-LUf.: [L, u' d f d' u]
LBu-FLu-RDf-DLf-LUf.: [L, d u' f d' u]
LDb-LFd-BLd-RUb-ULb.: [L, u' d b d' u]
LDb-LFd-BLd-RUb-ULb.: [L, d u' b d' u]
DLf-FLu-LBu-URf-LUf.: [L, u' d f' d' u]
DLf-FLu-LBu-URf-LUf.: [L, d u' f' d' u]
BLd-LFd-DRb-LDb-ULb.: [L, u' d b' d' u]
BLd-LFd-DRb-LDb-ULb.: [L, d u' b' d' u]
LBu-FLu-RDf-DLf-LUf.: [L, d' u' f u d]
LBu-FLu-RDf-DLf-LUf.: [L, u' d' f u d]
LDb-LFd-BLd-RUb-ULb.: [L, d' u' b u d]
LDb-LFd-BLd-RUb-ULb.: [L, u' d' b u d]
DLf-FLu-LBu-URf-LUf.: [L, d' u' f' u d]
DLf-FLu-LBu-URf-LUf.: [L, u' d' f' u d]
BLd-LFd-DRb-LDb-ULb.: [L, d' u' b' u d]
BLd-LFd-DRb-LDb-ULb.: [L, u' d' b' u d]
RFu-BLd-DLf-FLu-RUb.: [L, d' f' R2 f d]
BLd-DLf-RFu-RDf-ULb.: [L, d' b' R2 b d]
RFu-FLu-BLd-DLf-ULb.: [L, d2 F2 d F2 d]
LBu-FLu-RDf-DLf-LUf.: [L, d' u f u' d]
LBu-FLu-RDf-DLf-LUf.: [L, u d' f u' d]
LDb-LFd-BLd-RUb-ULb.: [L, d' u b u' d]
LDb-LFd-BLd-RUb-ULb.: [L, u d' b u' d]
DLf-FLu-LBu-URf-LUf.: [L, d' u f' u' d]
DLf-FLu-LBu-URf-LUf.: [L, u d' f' u' d]
BLd-LFd-DRb-LDb-ULb.: [L, d' u b' u' d]
BLd-LFd-DRb-LDb-ULb.: [L, u d' b' u' d]
RBd-RUb-DLf-FLu-ULb.: [L, f' u' R2 u f]
RFu-BLd-DLf-FLu-RUb.: [L, f' d' R2 d f]
RFu-FLu-LBu-LDb-ULb.: [L, b' f' u b f]
RFu-FLu-LBu-LDb-ULb.: [L, f' b' u b f]
DLf-RBd-BLd-LFd-LUf.: [L, b' f' d b f]
DLf-RBd-BLd-LFd-LUf.: [L, f' b' d b f]
LDb-BRu-LBu-FLu-ULb.: [L, b' f' u' b f]
LDb-BRu-LBu-FLu-ULb.: [L, f' b' u' b f]
FRd-LFd-BLd-DLf-LUf.: [L, b' f' d' b f]
FRd-LFd-BLd-DLf-LUf.: [L, f' b' d' b f]
DLf-FLu-BLd-RUb-ULb.: [L, f2 U2 f U2 f]
RFu-FLu-LBu-LDb-ULb.: [L, f' b u b' f]
RFu-FLu-LBu-LDb-ULb.: [L, b f' u b' f]
DLf-RBd-BLd-LFd-LUf.: [L, f' b d b' f]
DLf-RBd-BLd-LFd-LUf.: [L, b f' d b' f]
LDb-BRu-LBu-FLu-ULb.: [L, f' b u' b' f]
LDb-BRu-LBu-FLu-ULb.: [L, b f' u' b' f]
FRd-LFd-BLd-DLf-LUf.: [L, f' b d' b' f]
FRd-LFd-BLd-DLf-LUf.: [L, b f' d' b' f]
BLd-RDf-RBd-FLu-ULb.: [L, b' u' R2 u b]
BLd-DLf-RFu-RDf-ULb.: [L, b' d' R2 d b]
RFu-FLu-LBu-LDb-ULb.: [L, b' f' u f b]
RFu-FLu-LBu-LDb-ULb.: [L, f' b' u f b]
DLf-RBd-BLd-LFd-LUf.: [L, b' f' d f b]
DLf-RBd-BLd-LFd-LUf.: [L, f' b' d f b]
LDb-BRu-LBu-FLu-ULb.: [L, b' f' u' f b]
LDb-BRu-LBu-FLu-ULb.: [L, f' b' u' f b]
FRd-LFd-BLd-DLf-LUf.: [L, b' f' d' f b]
FRd-LFd-BLd-DLf-LUf.: [L, f' b' d' f b]
BLd-FLu-RDf-DLf-ULb.: [L, b2 D2 b D2 b]
