Lbd-Ubl-Lub.: [L, u' l u]
Lub-Drf-Lfu.: [L, u' r u]
Lbd-Bdl-Lub.: [L, u' l2 u]
Lub-Brd-Lfu.: [L, u' r2 u]
Lbd-Dfl-Lub.: [L, u' l' u]
Lub-Urb-Lfu.: [L, u' r' u]
Dfl-Ldf-Lfu.: [L, d' l d]
Lbd-Ldf-Urb.: [L, d' r d]
Ldf-Lfu-Ful.: [L, d' l2 d]
Lbd-Ldf-Fru.: [L, d' r2 d]
Ubl-Ldf-Lfu.: [L, d' l' d]
Drf-Lbd-Ldf.: [L, d' r' d]
Lfu-Lub-Ful.: [L, f' l f]
Brd-Ldf-Lfu.: [L, f' r f]
Lub-Ubl-Lfu.: [L, f' l2 f]
Urb-Ldf-Lfu.: [L, f' r2 f]
Lub-Bdl-Lfu.: [L, f' l' f]
Fru-Ldf-Lfu.: [L, f' r' f]
Bdl-Lbd-Ldf.: [L, b' l b]
Lbd-Fru-Lub.: [L, b' r b]
Lbd-Ldf-Dfl.: [L, b' l2 b]
Lbd-Drf-Lub.: [L, b' r2 b]
Lbd-Ldf-Ful.: [L, b' l' b]
Lbd-Brd-Lub.: [L, b' r' b]
Lub-Dlb-Lfu.: [L, u l u']
Lbd-Ufr-Lub.: [L, u r u']
Lub-Fld-Lfu.: [L, u l2 u']
Lbd-Fdr-Lub.: [L, u r2 u']
Lub-Ulf-Lfu.: [L, u l' u']
Lbd-Dbr-Lub.: [L, u r' u']
Lbd-Ldf-Ulf.: [L, d l d']
Dbr-Ldf-Lfu.: [L, d r d']
Lbd-Ldf-Blu.: [L, d l2 d']
Bur-Ldf-Lfu.: [L, d r2 d']
Dlb-Lbd-Ldf.: [L, d l' d']
Ufr-Ldf-Lfu.: [L, d r' d']
Blu-Ldf-Lfu.: [L, f l f']
Lub-Fdr-Lfu.: [L, f r f']
Dlb-Ldf-Lfu.: [L, f l2 f']
Lub-Dbr-Lfu.: [L, f r2 f']
Fld-Ldf-Lfu.: [L, f l' f']
Lub-Bur-Lfu.: [L, f r' f']
Lbd-Fld-Lub.: [L, b l b']
Lbd-Ldf-Bur.: [L, b r b']
Lub-Lbd-Ulf.: [L, b l2 b']
Lbd-Ldf-Ufr.: [L, b r2 b']
Lbd-Blu-Lub.: [L, b l' b']
Fdr-Lbd-Ldf.: [L, b r' b']
Ulf-Ufr-Lfu.: [U, l' u l]
Rdb-Ubl-Ulf.: [U, l' d l]
Ufr-Fru-Ulf.: [U, l' u2 l]
Fdr-Ubl-Ulf.: [U, l' d2 l]
Ufr-Rbu-Ulf.: [U, l' u' l]
Ldf-Ubl-Ulf.: [U, l' d' l]
Rbu-Urb-Ubl.: [U, r' u r]
Ldf-Ufr-Urb.: [U, r' d r]
Urb-Ubl-Blu.: [U, r' u2 r]
Bdl-Ufr-Urb.: [U, r' d2 r]
Urb-Ubl-Lfu.: [U, r' u' r]
Rdb-Ufr-Urb.: [U, r' d' r]
Fru-Ufr-Urb.: [U, f' u f]
Ufr-Bdl-Ulf.: [U, f' d f]
Ufr-Urb-Rbu.: [U, f' u2 f]
Ufr-Rdb-Ulf.: [U, f' d2 f]
Ufr-Urb-Blu.: [U, f' u' f]
Ufr-Fdr-Ulf.: [U, f' d' f]
Blu-Ubl-Ulf.: [U, b' u b]
Fdr-Urb-Ubl.: [U, b' d b]
Ubl-Ulf-Lfu.: [U, b' u2 b]
Ldf-Urb-Ubl.: [U, b' d2 b]
Fru-Ubl-Ulf.: [U, b' u' b]
Bdl-Urb-Ubl.: [U, b' d' b]
Ruf-Ubl-Ulf.: [U, l u l']
Ufr-Lbd-Ulf.: [U, l d l']
Bur-Ubl-Ulf.: [U, l u2 l']
Ufr-Brd-Ulf.: [U, l d2 l']
Lub-Ubl-Ulf.: [U, l u' l']
Ufr-Rfd-Ulf.: [U, l d' l']
Ufr-Urb-Lub.: [U, r u r']
Rfd-Urb-Ubl.: [U, r d r']
Ufr-Urb-Ful.: [U, r u2 r']
Fld-Urb-Ubl.: [U, r d2 r']
Ruf-Ufr-Urb.: [U, r u' r']
Lbd-Urb-Ubl.: [U, r d' r']
Ufr-Bur-Ulf.: [U, f u f']
Fld-Ufr-Urb.: [U, f d f']
Ufr-Lub-Ulf.: [U, f u2 f']
Lbd-Ufr-Urb.: [U, f d2 f']
Ulf-Ufr-Ful.: [U, f u' f']
Brd-Ufr-Urb.: [U, f d' f']
Urb-Ubl-Ful.: [U, b u b']
Brd-Ubl-Ulf.: [U, b d b']
Ruf-Urb-Ubl.: [U, b u2 b']
Rfd-Ubl-Ulf.: [U, b d2 b']
Bur-Urb-Ubl.: [U, b u' b']
Fld-Ubl-Ulf.: [U, b d' b']
Ruf-Dlb-Rbu.: [R, u' l u]
Rfd-Ufr-Ruf.: [R, u' r u]
Ruf-Fld-Rbu.: [R, u' l2 u]
