Lub-Lbd-Ubl-Drf-Lfu.: [L, u' l r u]
Lub-Lbd-Bdl-Drf-Lfu.: [L, u' l2 r u]
Lub-Lbd-Dfl-Drf-Lfu.: [L, u' l' r u]
Lub-Lbd-Ubl-Brd-Lfu.: [L, u' l r2 u]
Lub-Lbd-Bdl-Brd-Lfu.: [L, u' l2 r2 u]
Lub-Lbd-Dfl-Brd-Lfu.: [L, u' l' r2 u]
Ldf-Lfu-Lub-Rfd-Ful.: [L, f2 u' f2 u]
Lbd-Ldf-Fru-Rdb-Lub.: [L, b2 u' b2 u]
Lub-Lbd-Ubl-Urb-Lfu.: [L, u' l r' u]
Lub-Lbd-Bdl-Urb-Lfu.: [L, u' l2 r' u]
Lub-Lbd-Dfl-Urb-Lfu.: [L, u' l' r' u]
Dfl-Urb-Lbd-Ldf-Lfu.: [L, d' l r d]
Urb-Lbd-Ldf-Lfu-Ful.: [L, d' l2 r d]
Ubl-Urb-Lbd-Ldf-Lfu.: [L, d' l' r d]
Dfl-Fru-Lbd-Ldf-Lfu.: [L, d' l r2 d]
Fru-Lbd-Ldf-Lfu-Ful.: [L, d' l2 r2 d]
Ubl-Fru-Lbd-Ldf-Lfu.: [L, d' l' r2 d]
Lub-Brd-Ruf-Ldf-Lfu.: [L, f2 d' f2 d]
Lbd-Ldf-Rbu-Bdl-Lub.: [L, b2 d' b2 d]
Dfl-Drf-Lbd-Ldf-Lfu.: [L, d' l r' d]
Drf-Lbd-Ldf-Lfu-Ful.: [L, d' l2 r' d]
Ubl-Drf-Lbd-Ldf-Lfu.: [L, d' l' r' d]
Brd-Ldf-Lfu-Lub-Ful.: [L, f' l r f]
Lub-Ubl-Brd-Ldf-Lfu.: [L, f' l2 r f]
Lub-Bdl-Brd-Ldf-Lfu.: [L, f' l' r f]
Lub-Lbd-Drf-Rbu-Lfu.: [L, u2 f' u2 f]
Urb-Ldf-Lfu-Lub-Ful.: [L, f' l r2 f]
Lub-Ubl-Urb-Ldf-Lfu.: [L, f' l2 r2 f]
Lub-Bdl-Urb-Ldf-Lfu.: [L, f' l' r2 f]
Rdb-Dfl-Lbd-Ldf-Lfu.: [L, d2 f' d2 f]
Fru-Ldf-Lfu-Lub-Ful.: [L, f' l r' f]
Lub-Ubl-Fru-Ldf-Lfu.: [L, f' l2 r' f]
Lub-Bdl-Fru-Ldf-Lfu.: [L, f' l' r' f]
Lbd-Ldf-Bdl-Fru-Lub.: [L, b' l r b]
Lbd-Ldf-Dfl-Fru-Lub.: [L, b' l2 r b]
Fru-Lub-Lbd-Ldf-Ful.: [L, b' l' r b]
Lub-Lbd-Ruf-Ubl-Lfu.: [L, u2 b' u2 b]
Lbd-Ldf-Bdl-Drf-Lub.: [L, b' l r2 b]
Lbd-Ldf-Dfl-Drf-Lub.: [L, b' l2 r2 b]
Drf-Lub-Lbd-Ldf-Ful.: [L, b' l' r2 b]
Urb-Rfd-Lbd-Ldf-Lfu.: [L, d2 b' d2 b]
Lbd-Ldf-Bdl-Brd-Lub.: [L, b' l r' b]
Lbd-Ldf-Dfl-Brd-Lub.: [L, b' l2 r' b]
Brd-Lub-Lbd-Ldf-Ful.: [L, b' l' r' b]
Lub-Lbd-Ruf-Ufr-Lfu.: [L, f' u2 f u2]
Lub-Lbd-Dlb-Rbu-Lfu.: [L, b' u2 b u2]
Lub-Lbd-Ruf-Dfl-Lfu.: [L, f u2 f' u2]
Lub-Lbd-Urb-Rbu-Lfu.: [L, b u2 b' u2]
Ulf-Rfd-Lbd-Ldf-Lfu.: [L, f' d2 f d2]
Rdb-Dbr-Lbd-Ldf-Lfu.: [L, b' d2 b d2]
Drf-Rfd-Lbd-Ldf-Lfu.: [L, f d2 f' d2]
Rdb-Ubl-Lbd-Ldf-Lfu.: [L, b d2 b' d2]
Lub-Blu-Ruf-Ldf-Lfu.: [L, u' f2 u f2]
Lub-Rfd-Fdr-Ldf-Lfu.: [L, d' f2 d f2]
Lub-Fru-Ruf-Ldf-Lfu.: [L, u f2 u' f2]
Lub-Rfd-Bdl-Ldf-Lfu.: [L, d f2 d' f2]
Lbd-Ldf-Rbu-Bur-Lub.: [L, u' b2 u b2]
Lbd-Ldf-Fld-Rdb-Lub.: [L, d' b2 d b2]
Lub-Lbd-Ldf-Rbu-Ful.: [L, u b2 u' b2]
Lbd-Ldf-Brd-Rdb-Lub.: [L, d b2 d' b2]
Lub-Lbd-Ufr-Dlb-Lfu.: [L, u l r u']
Lub-Lbd-Ufr-Fld-Lfu.: [L, u l2 r u']
Lub-Lbd-Ufr-Ulf-Lfu.: [L, u l' r u']
Lub-Lbd-Fdr-Dlb-Lfu.: [L, u l r2 u']
Lub-Lbd-Fdr-Fld-Lfu.: [L, u l2 r2 u']
Lub-Lbd-Fdr-Ulf-Lfu.: [L, u l' r2 u']
Lub-Rfd-Bur-Ldf-Lfu.: [L, f2 u f2 u']
Lbd-Ldf-Blu-Rdb-Lub.: [L, b2 u b2 u']
Lub-Lbd-Dbr-Dlb-Lfu.: [L, u l r' u']
Lub-Lbd-Dbr-Fld-Lfu.: [L, u l2 r' u']
Lub-Lbd-Dbr-Ulf-Lfu.: [L, u l' r' u']
Dbr-Ulf-Lbd-Ldf-Lfu.: [L, d l r d']
Dbr-Blu-Lbd-Ldf-Lfu.: [L, d l2 r d']
Dbr-Dlb-Lbd-Ldf-Lfu.: [L, d l' r d']
Bur-Ulf-Lbd-Ldf-Lfu.: [L, d l r2 d']
Bur-Blu-Lbd-Ldf-Lfu.: [L, d l2 r2 d']
Bur-Dlb-Lbd-Ldf-Lfu.: [L, d l' r2 d']
Lub-Fld-Ruf-Ldf-Lfu.: [L, f2 d f2 d']
Lbd-Ldf-Rbu-Fdr-Lub.: [L, b2 d b2 d']
Ufr-Ulf-Lbd-Ldf-Lfu.: [L, d l r' d']
Ufr-Blu-Lbd-Ldf-Lfu.: [L, d l2 r' d']
Ufr-Dlb-Lbd-Ldf-Lfu.: [L, d l' r' d']
Lub-Fdr-Blu-Ldf-Lfu.: [L, f l r f']
Lub-Fdr-Dlb-Ldf-Lfu.: [L, f l2 r f']
Lub-Fdr-Fld-Ldf-Lfu.: [L, f l' r f']
Lub-Lbd-Ulf-Rbu-Lfu.: [L, u2 f u2 f']
Lub-Dbr-Blu-Ldf-Lfu.: [L, f l r2 f']
Lub-Dbr-Dlb-Ldf-Lfu.: [L, f l2 r2 f']
Lub-Dbr-Fld-Ldf-Lfu.: [L, f l' r2 f']
Rdb-Ufr-Lbd-Ldf-Lfu.: [L, d2 f d2 f']
Lub-Bur-Blu-Ldf-Lfu.: [L, f l r' f']
Lub-Bur-Dlb-Ldf-Lfu.: [L, f l2 r' f']
Lub-Bur-Fld-Ldf-Lfu.: [L, f l' r' f']
Lbd-Ldf-Bur-Fld-Lub.: [L, b l r b']
Lub-Lbd-Ldf-Bur-Ulf.: [L, b l2 r b']
Lbd-Ldf-Bur-Blu-Lub.: [L, b l' r b']
Lub-Lbd-Ruf-Dbr-Lfu.: [L, u2 b u2 b']
Lbd-Ldf-Ufr-Fld-Lub.: [L, b l r2 b']
Lub-Lbd-Ldf-Ufr-Ulf.: [L, b l2 r2 b']
Lbd-Ldf-Ufr-Blu-Lub.: [L, b l' r2 b']
